Query	Genome	Gene
rsgA	Seminavis_robusta_version1.2	Sro453_g146070
phoA	Seminavis_robusta_version1.2	Sro525_g160150
ylmB	Seminavis_robusta_version1.2	Sro87_g046140
adk	Seminavis_robusta_version1.2	Sro886_g216240
tenA	Seminavis_robusta_version1.2	Sro90_g047300
THI20	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000418_1:54657-55481
thiDN	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000418_1:54660-55391
thiD	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000418_1:54702-55406
thiDE	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000418_1:54717-55415
thiE	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000418_1:55710-56303
THI6	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000418_1:55764-56330
iscS	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000668_1:26770-25415
TPK1	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000689_1:34402-35208
tenI	Asterionellopsis_glacialis_ASM1488511v2	WKLE02000702_1:106029-106517
thiC	Asterionellopsis_glacialis_ASM1488511v2	WKLE02001293_1:18349-20100
thiO	Asterionellopsis_glacialis_ASM1488511v2	WKLE02001329_1:14177-13149
THI5	Asterionellopsis_glacialis_ASM1488511v2	WKLE02001615_1:3635-2907
TH2	Asterionellopsis_glacialis_ASM1488511v2	WKLE02002003_1:30916-30077
ylmB	Asterionellopsis_glacialis_ASM1488511v2	WKLE02002038_1:5399-5872
thiF	Asterionellopsis_glacialis_ASM1488511v2	WKLE02002052_1:14281-15018
dxs	Asterionellopsis_glacialis_ASM1488511v2	WKLE02003169_1:6921-8594
THTPA	Asterionellopsis_glacialis_ASM1488511v2	WKLE02005184_1:16420-17157
adk	Asterionellopsis_glacialis_ASM1488511v2	WKLE02005941_1:284-1069
NTPCR	Asterionellopsis_glacialis_ASM1488511v2	WKLE02006038_1:13557-14060
thiG	Asterionellopsis_glacialis_ASM1488511v2	WKLE02006732_1:883-1647
iscS	Nitzschia_sp_Nitz4	WXVQ01000013_1:215677-216825
rsgA	Nitzschia_sp_Nitz4	WXVQ01000041_1:21435-21103
thiO	Nitzschia_sp_Nitz4	WXVQ01000050_1:39352-39921
thiDN	Nitzschia_sp_Nitz4	WXVQ01000058_1:26836-27135
adk	Nitzschia_sp_Nitz4	WXVQ01000075_1:87245-86508
dxs	Nitzschia_sp_Nitz4	WXVQ01000081_1:110818-111189
thiF	Nitzschia_sp_Nitz4	WXVQ01000107_1:6474-5962
ylmB	Nitzschia_sp_Nitz4	WXVQ01000155_1:45592-45843
TPK1	Nitzschia_sp_Nitz4	WXVQ01000181_1:6441-7142
THTPA	Nitzschia_sp_Nitz4	WXVQ01000185_1:12229-11495
